FredsonLaguna,,,,1,1,,"Menifee, CA",2
abdulabbas,,,,167,3316,True,,57
SamuelSMueller,,,,1,1,,Greater Seattle Area,3
AashikaVasraTR,,,,1,1,,,8
brok3nwir3,,,,2,5,,California,2
alexpwns,,,,1,8,,,8
