MantisSTS,MantisSTS,,,62,36,True,"Plymouth, UK",72
sipa-,,,,14,24,,,3
jakuta-tech,,,,69,158,,,487
vishnummv,,,,169,4199,,Bangalore,1
FilipposM,,,,290,1396,True,,42
eragon226,,,,27,480,,,233
triplekill,,,,125,1970,,,1642
ButrintKomoni,,https://void.international,,25,41,True,"London, United Kingdom",10
alikaptanoglu,,,,63,851,,london,1226
okabe,,http://oha.io,,33,107,,0.0.0.0/0,9
bobbuilder123,,,,1,2,,,0
EasyNV,samueladi_,https://i-2.io,,12,76,True,,20
sasqwatch,,,,34,241,,,1931
hawk3ye,,,,0,4,,,1
NyaMeeEain,NyaMeeEain7,,,18,108,True,Myanmar,37
Aekras1a,aekrs1,,,283,633,,127.0.0.1/Australia,203
secfb,,,,43,340,,,350
int3hh,,,,85,744,,,16
epichawk,,,,0,1,,,3
stfuanu,stfuanu,stfuanu.github.io,,14,489,,,44
szipS,,,,15,117,,,78
yeenyeen,,,,1,11,,,2
attacker-codeninja,,,,54,739,,,926
coneycalifornia,,,,1,28,,,0
